wind_speed_surf,wind_angle,wind_shear_exp,launch_angle,launch_heading,rocket_mass,apogee,landing_x,landing_y,flight_time
11.565412236528905,79.90513989626679,0.14408527246820518,80.88625638996653,56.96986196833494,15.246677537738284,2204.9938080012653,2059.931218083325,584.8139756976562,27.01422909722666
3.2072886033554804,208.09940938946391,0.10240712895633602,86.35165137266257,137.05272914711594,14.683836748723225,2834.564246030878,-28.624429644612682,-836.1207954721655,35.7309586882361
4.70970312602173,256.7514449774479,0.15112645614565898,84.43026367897801,352.22588144924435,15.732420037026824,2629.7557045415706,-1096.030546208572,282.2041942657391,33.169511461821195
12.552303181528801,160.7751699338511,0.23276719792936687,86.98608107407526,180.3844197360266,14.743853745302623,1978.100656460073,630.6047593849215,-1950.35304255184,23.00797131287271
3.708651743564312,183.30645606938882,0.16953730074946954,83.88839995830588,355.87017409218845,14.83243156526343,2836.057400579902,-110.97206672871897,-347.55610401227744,35.75160778922319
8.313499788674148,240.72473772578437,0.18701775231005713,85.99183058159556,212.30941953500857,14.708467177544208,2427.023066885865,-1681.1858401795384,-1104.2116880264969,30.351728349875536
11.404912944333008,221.73169614068334,0.1375275693008068,80.70898259641115,216.9349247402442,15.131274344188236,2230.5668741518466,-1407.3516695840951,-1645.7929566213948,27.400588880439734
13.146607657073034,309.38002399221,0.2179408644032836,80.20276229384974,358.5566067245539,14.49115784027776,1964.9246517533734,-1429.8771196874786,1586.2032770796504,22.738590621065264
6.183683203645881,93.4265217468218,0.29857801497750847,87.79873064817919,282.2722125084342,14.744145466876812,2354.469854476884,1930.927717620105,-93.97085427851667,29.313503491109003
13.707038476071679,191.27455353727518,0.2564414004972706,82.21061268258586,254.56491247687674,15.452187765158545,1778.0806133437568,-552.8880006163522,-1697.976344673196,18.781417557017026
